x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j
0.0,339.10999999999996,0.0,0.0,0.0,0.0,8000000.0,20.999288004080253,0.0,0.0,0.0,0.03964582724733596,0,3,0.0,0.0
0.8,332.94619280960063,315.353028188814,314.9497131142907,307.7920725112519,29.483005764458653,7999977.238945291,20.911945204922493,407.26599295339497,49.98137993370496,448.642920874463,0.040191273538125814,,,0.22308923629797373,0.00035656682090905335
1.6,328.1101842460984,313.8118779577847,313.46051015310377,307.2226062923945,24.39197097599049,7999955.814279278,20.843378564907724,438.8359295014015,49.9641601346758,390.8573920230508,0.039548165117160285,,,0.24034044670531024,249.1924604252869
2.4000000000000004,324.29687638670816,312.59273271655746,312.283416805043,306.7906539619428,20.369257682226362,7999935.539874464,20.795610944591413,474.4596993996849,49.95143105449065,344.0793632217467,0.040288935668722325,,,0.2582324139228744,1083.1292676507192
3.2,321.2738670190012,311.6202431998408,311.34532638309423,306.46249025776314,17.172911480681933,7999916.263707396,,514.0652234678236,49.94207283064373,305.8142168878985,,,,0.27722309074396667,2639.9407193832917
4.0,318.8635657320953,310.83807862546615,310.5915229941496,306.21180353859694,14.61925642384,7999897.860773812,,557.6527685823492,49.93519174012058,274.2655695357404,,,,0.29789619299021064,5076.888957708696
4.800000000000001,316.92988641868334,310.2030929023685,309.98003219976107,306.01725422236916,12.569172961568938,7999880.227747337,,605.3021748890848,49.93004321156972,248.13008858286065,,,,0.3210498957381646,8584.703330639448
5.6000000000000005,315.3683050511588,309.6820839823045,309.47851896567363,305.8617962742504,10.916722386583615,7999863.278918608,,657.173645889241,49.926022684331365,226.44331796156573,,,,0.3477881102276839,13409.8557444599
6.4,314.09852461040686,309.2503137110791,309.0629244614901,305.73337199493125,9.579452333392624,7999846.943027891,,713.5083516579566,49.922709418087244,208.44958593653718,,,,0.3795252681948207,19883.37820547774
7.2,313.0592539130017,308.8916476394285,308.7177384221159,305.62753050515926,8.489088907410064,7999831.160604459,,774.615001007845,49.919997506897595,193.45455740843553,,,,0.4175820993702626,28433.35749546557
8.0,312.2031314437103,308.59178556147185,308.4290959306039,305.5381141073358,7.596118494977588,7999815.881788718,,840.8584475466234,49.91768390442802,180.97402207969745,,,,0.4639526753940406,39642.49848904548
8.8,311.4928314993794,308.3363953212534,308.1828808891846,305.4548131550431,6.867839299524007,7999801.064862923,,912.6967979185221,49.91536117836975,170.76763938766584,,,,0.5223563294736545,54381.4729293605
9.600000000000001,310.89954174923867,308.1180208402915,307.97195441768116,305.37611967843037,6.271709503075954,7999786.675049678,,990.692854546052,49.91300766793938,162.48256172894094,,,,0.5952349265454874,73659.70024373649
10.4,310.40150106649924,307.9345921232811,307.7946930942999,305.3083586890715,5.774735918193926,7999772.683060781,,1075.4169724839596,49.91094858805029,155.62202595728806,,,,0.677437012014038,97895.47008919828
11.200000000000001,309.9818792438067,307.7831634565532,307.6484943888129,305.25503206598876,5.353060276492329,7999759.0637023235,,1167.3391014314304,49.909377091316976,149.8042789119423,,,,0.7555234911354158,126327.8155651328
12.0,309.6273552258943,307.66023856757454,307.53012655059456,305.21760973061953,4.989319148677737,7999745.79484128,,1266.7665159266528,49.908390160654825,144.73506950270166,,,,0.8193750264698544,157869.23080322202
0.0,339.10999999999996,0.0,0.0,0.0,0.0,8000000.0,,0.0,0.0,0.0,,,,0.0,0.0
0.8,332.50445089448016,313.5620613694628,313.1221664232828,305.2981087694314,31.86954897663395,7999976.72498135,,412.85162959358087,49.87121671465596,489.3339376268672,,,,0.26149534221305215,0.000395756847510698
1.6,327.4031330747377,312.2032430829857,311.8224832702,305.04982881132355,26.081510666371514,7999954.917447046,,447.83698916175655,49.868442667102194,423.55271435184756,,,,0.28671814354459113,281.3076216647622
2.4000000000000004,323.4421945941117,311.14528970008035,310.81169779979956,304.87789130641113,21.57644393081091,7999934.363670656,,487.80674503169683,49.867336957062925,371.0836861186833,,,,0.31446237872686567,1245.6243339193556
3.2,320.3490544354649,310.3148480682376,310.01931181396446,304.7624301865824,18.047169500282394,7999914.891307791,,532.7871362445825,49.867431790580405,328.75103541217294,,,,0.3459441336575889,3100.0335308092467
4.0,317.9188049251549,309.65777862199576,309.3932030731844,304.68711636481953,15.265034155885758,7999896.360319154,,582.9057972976526,49.86829902386008,294.310712692421,,,,0.38284225765361596,6106.128668457771
4.800000000000001,315.9969062068379,309.1330461835357,308.89377312736946,304.6378520052716,13.05996977350668,7999878.656242367,,638.4114598556093,49.86952888462815,266.16451902461324,,,,0.42761344723821626,10616.499636022387
5.6000000000000005,314.4664683596065,308.709365151619,308.4907813026395,304.6029504224245,11.30471618329966,7999861.685164383,,699.6751809060125,49.87076264210544,243.15008951271346,,,,0.48399533912365555,17134.90565606409
6.4,313.23900460154533,308.36378622492646,308.1620821754469,304.5745529998492,9.90195725384342,7999845.369865552,,767.1953581687638,49.87177244830104,224.3732001068854,,,,0.5574685454704041,26402.53311519523
7.2,312.2478974511071,308.0820112670357,307.89410664365334,304.55207020342914,8.772475777555712,7999829.646631624,,841.5850926593982,49.87262897831416,209.02288166080433,,,,0.6525649370992017,39374.54216946747
8.0,311.44235023514153,307.85111287460137,307.67443085382627,304.53203425942104,7.859475402506575,7999814.462667366,,923.5570942948154,49.873251239588704,196.5389911788438,,,,0.7629332373174568,56703.26267764107
