x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j,Bu_p
0.0,354.54999999999995,0.0,0.0,0.0,0.0,9000000.0,20.979683092124308,0.0,0.0,0.0,0.049793740782716325,0,3,0.0,0.0,0.007329333662080802
1.2,341.7734428362401,325.6478596763571,324.97060258366673,312.95657785282793,37.31265959599682,8999951.25235818,20.837958021183162,628.035526150705,49.94763074763604,1130.0591748230186,0.05070625921729534,,,0.14628398848190166,0.0002398118667191389,0.008442908676277514
2.4,332.63351695646173,323.09066709654934,322.5039808695054,312.0915138170838,26.937685758952966,8999907.802308153,20.736212503883667,867.9065302464634,49.92344922810481,978.9342345421973,0.04995509664936077,,,0.14586660782133148,364.78284457514826,0.009400302746180082
3.5999999999999996,326.42208053740694,320.6498840183936,320.1500578817708,311.27509875911744,19.808154908594474,8999868.742066456,20.676199099684897,1175.4079855536597,49.90076987507388,834.0010279887264,0.05054490335065957,,,0.1491496706311576,1554.5864374355936,0.010157002202017689
4.8,322.2961037953046,318.6020058230109,318.1768626978692,310.62532436450846,15.056833447283452,8999833.247142693,,1541.7468213470595,49.883413201796614,709.3862794203792,,,,0.1569568762629107,3783.245055470238,0.010683053919355255
6.0,319.5467134288378,317.0235353159819,316.65860846719454,310.1752137836127,11.881876865801473,8999800.635910753,,1954.603819496354,49.87247800132447,608.9104685664405,,,,0.16838641826171288,7349.637917861059,0.010959091013760918
7.199999999999999,317.67552079866357,315.8514902934744,315.53407444921174,309.894139236315,9.704807784782531,8999770.371997641,,2401.368936034833,49.86692895493492,529.6344489517737,,,,0.181458418963574,12543.811504705296,0.010980803045474354
8.4,316.36114357990544,314.98243059556694,314.7027143340527,309.7324488409174,8.156389249297774,8999742.03943088,,2868.4123051474203,49.86508037541659,466.7295937587385,,,,0.19375713850071127,19510.231088613964,0.010724393292844804
9.6,315.4026486561857,314.3251997293181,314.07580933516954,309.6444263322886,7.013597967195096,8999715.315330625,,3344.6944363960424,49.8653451916627,416.1283892298536,,,,0.20204183672775658,28016.507392506726,0.010201365028378534
10.799999999999999,314.6721183276088,313.8087271104763,313.58404504654794,309.59178283678233,6.144833354740854,8999689.947632836,,3817.8477738462607,49.86635569401821,374.90050758373786,,,,0.20316829474710266,37286.639645385825,0.00954057407125227
12.0,314.0854992079566,313.37753778602615,313.17376333281675,309.55307900098603,5.459895608924683,8999665.735047309,,4248.921924219875,49.86745405335693,340.01443919628707,,,,0.19695673662264782,46403.80934458933,0.0086130604694667
0.0,354.54999999999995,0.0,0.0,0.0,0.0,9000000.0,,0.0,0.0,0.0,,,,0.0,0.0,0.010220332658482031
1.2,341.1957137410557,322.3571931775678,321.63312215944524,308.7415457914184,41.385298106738844,8999949.766931776,,592.4544137759478,49.76582452310099,1208.172060650388,,,,0.18535697522046166,0.0002811573221955529,0.011704912550306734
2.4,331.6577203029268,320.39186908652727,319.7562943801724,308.4400744577121,29.96514092288828,8999905.29817317,,827.5274405980194,49.76473454576371,1060.5086841420775,,,,0.19095831609952535,445.21818102804167,0.01294070117577417
3.5999999999999996,325.2782204894143,318.43331196221015,317.8872179730696,308.16418891756217,22.003723579017958,8999865.640921412,,1136.1755677709268,49.76484658773588,911.202746211652,,,,0.20288104358784775,1981.9548959008278,0.013790133120204669
4.8,321.15013393869737,316.762230476488,316.2951413887659,307.97919307363617,16.688978569596372,8999829.896548329,,1511.4354068728467,49.76740333491924,779.3765687310939,,,,0.22253197438742506,5041.708079628457,0.014099774759122424
6.0,318.4774269410424,315.4824006414367,315.07932727801125,307.9038497089267,13.164635942861764,8999797.308865009,,1942.846443565241,49.772600696570365,672.5610663962469,,,,0.24755488215030794,10179.28505714537,0.013712102535217378
7.199999999999999,316.7028293264861,314.5494665659381,314.19674215848863,307.9184794216212,10.769607513714163,8999767.279886097,,2421.854631563601,49.77978362285075,588.5496913241467,,,,0.27153670137710056,17764.683477941846,0.012698242012540096
8.4,315.4763298040345,313.8714374164657,313.5586112499079,307.991437039056,9.071889207196648,8999739.346302241,,2944.3832775366677,49.788044800198946,521.9761941131312,,,,0.28457899992559915,27389.272253921277,0.01154233144411518
9.6,314.583533029439,313.356373783055,313.0762638379638,308.09216996941234,7.809654210371718,8999713.149014551,,3494.366871603964,49.796526617294326,467.386487175557,,,,0.2802588776876197,37683.55858800334,0.010618528238590592
10.799999999999999,313.8875598189854,312.9184610497248,312.6669965776556,308.19331743753037,6.824942964304796,8999688.40038424,,3986.055596257154,49.8044912278393,419.58915893734667,,,,0.26420021749456957,47625.966390790556,0.0058188099826406775
12.0,313.3025881997422,312.5112109908023,312.2862544210432,308.2847473167301,6.0105179892884735,8999664.855242416,,4333.162010656881,49.81176709627777,375.35854332737233,,,,0.24317095679822598,56760.51157498271,0.0069480936930330596
0.0,306.11910334429575,0.0,0.0,0.0,0.0,8999452.611444255,,0.0,0.0,0.0,,,,0.0,0.0,0.008125213491013182
1.2,306.79332070738957,306.0444386175137,305.9483308848051,304.23357173615955,2.5219704930878493,8999469.570060676,,4872.823480262969,49.65832194907176,160.36365865565162,,,,0.05070321009426823,13026.984811369304,0.009277002364236356
2.4,307.54631921528255,306.64958112454406,306.5345835866827,304.48307774049397,3.044851642276001,8999486.750819115,,4614.943797630563,49.6663792090047,191.88285251754158,,,,0.06793264022126834,13736.764627789447,0.010315930810805297
