x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j
0.0,360.45,0.0,0.0,0.0,0.0,8000000.0,7.763469744493376,0.0,0.0,0.0,0.07058687551359628,34.700487273120956,1.5774669124225194,0.0,0.0
1.2,349.51061708567397,331.3118304743196,330.62412128000415,314.7137500747576,44.161073508514164,7999889.52293836,7.658270070834854,606.6177890804423,34.694128381719565,1147.499366192716,0.07221472305618151,,,0.030850939729804867,5.549698425940618e-05
2.4,340.57871085933857,328.201605179943,327.58670411077503,313.34638791004147,35.18062209767055,7999787.292631214,7.566423332212187,762.1929503187237,34.66261407625077,1026.013019731202,0.07003105427283353,,,0.029034624463108553,78.086516298884
3.5999999999999996,333.4565771948739,325.07230155413487,324.5276787060574,311.90088201475623,28.201245540659613,7999692.324072093,7.486304329598893,951.8705611695185,34.627967176488255,908.7480262604308,0.07277054429713338,,,0.027506744874270166,304.8485716234484
4.8,327.8720690266316,322.1309649503683,321.65060193099276,310.5013431944951,22.88364953709481,7999603.678898923,,1175.2499349315804,34.593629049931266,801.5252156358898,,,,0.02638348647769307,673.0348402961877
6.0,323.5316898475713,319.501811796878,319.07741172690714,309.21686609171496,18.88882281487679,7999520.511445016,,1429.0902732886539,34.56147149334286,708.1464306983875,,,,0.025773583970190594,1188.5452342209865
7.199999999999999,320.1671650522061,317.2426922896523,316.86553667203844,308.0946391042141,15.891082348442296,7999442.09177411,,1709.2594090715168,34.533003731329195,629.3151753116033,,,,0.02571389287308174,1875.006273722118
8.4,317.55367908304595,315.34909706275914,315.0108798070776,307.1392926192672,13.636927267518843,7999367.807415891,,2010.969001496371,34.50848091310578,564.3433151038976,,,,0.026255759736288194,2779.3036355026497
9.6,315.51808376094914,313.7973524579388,313.4914265744245,306.36685354525747,11.901954264671247,7999297.150077751,,2332.273771921548,34.48877453945994,510.4625041425603,,,,0.027344242280970463,3960.8965283688294
10.799999999999999,313.929671760559,312.54815582434856,312.26956577790475,305.7785681976701,10.523419268581847,7999229.693907109,,2673.270151440383,34.47426777756086,464.8504111487967,,,,0.028891130928609794,5485.1068460347415
