x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j
0.0,354.54999999999995,0.0,0.0,0.0,0.0,9000000.0,8.298556176855039,0.0,0.0,0.0,0.09648730551455223,41.13069042581885,1.6767353388939739,0.0,0.0
1.2,347.6148461933262,339.5417918226051,338.8577099007965,323.394097156118,31.457282981341166,8999839.246933002,8.190779174350201,1237.5398486921506,35.63170679720099,1141.4469636782376,0.09867900695104855,,,0.012758553410593737,2.5270604533811787e-05
2.4,341.93403836541296,336.1413879183243,335.53139726938656,321.7248135598862,26.41060262580868,8999687.636629423,8.099063147327442,1475.1607408746934,35.59016299129058,1017.8195796149423,0.09624232957012184,,,0.012114859535235023,35.15899296764614
3.5999999999999996,337.30681485349646,333.1022631062915,332.5585190411902,320.23717294200645,22.379394244240643,8999544.06567851,8.021562324637896,1741.6060452834702,35.55308015355036,907.2817046203263,0.09892398289596939,,,0.011561952914581064,136.09836736931518
4.8,333.547622035416,330.44823372003117,329.96297784685896,318.9561195364759,19.14509190922854,8999407.550545078,,2034.7480953178003,35.521334786251174,809.6893447677471,,,,0.011090795738373732,297.04007367288034
6.0,330.49421630433204,328.1692912861798,327.73536068555103,317.88466979583677,16.527513371183318,8999277.226752901,,2352.1044274535657,35.49517103208371,724.0489051591213,,,,0.010684385361039212,513.3354815235762
7.199999999999999,328.0104220597101,326.2359226992641,325.8470596538801,317.01375771832903,14.38154000506836,8999152.34021193,,2691.465958958685,35.474483219134555,648.8499816849351,,,,0.01031835495168857,780.3860240497535
8.4,325.98522812061367,324.60985612822003,324.2608386307672,316.32882961771884,12.592436796115862,8999032.233944893,,3051.400172999584,35.45900036793954,582.3644069924369,,,,0.009962761819544943,1091.8579014446505
9.6,324.32977916482923,323.2509018091703,322.937524534924,315.8131378611308,11.071422174014572,8998916.333179854,,3431.532657893805,35.44836772948604,522.8957625932587,,,,0.009585294843389403,1437.6767658748213
10.799999999999999,322.9739922851554,322.1216029514262,321.84064280141115,315.45202429692927,9.748279859920558,8998804.13057066,,3833.1311671434078,35.442288008066626,468.80512401875814,,,,0.00915078816184255,1801.563013802382
12.0,321.863332067029,321.1894726273887,320.93865985490174,315.2352499023162,8.565689072442979,8998695.172051389,,4260.017999593103,35.44060053687834,418.50174457934327,,,,0.008621104812502379,2158.1865398469113
0.0,354.54999999999995,0.0,0.0,0.0,0.0,9000000.0,,0.0,0.0,0.0,,,,0.0,0.0
1.2,346.43179956095565,335.4948853097827,334.66969178115795,315.85618307452586,39.18422047899651,8999833.446432734,,1148.842799633169,35.355480469301696,1376.9032884272842,,,,0.017537142073858432,3.319457617090046e-05
2.4,339.9514662993613,332.39015465873604,331.6598063940383,315.0028657472356,32.215406553316996,8999678.056733292,,1411.651355191515,35.34439632641676,1218.6461629649793,,,,0.01666608653913891,46.64235675720482
3.5999999999999996,334.84633210874614,329.5685372869019,328.9250536550726,314.24489178842174,26.701757906904504,8999532.357854277,,1715.6800955604524,35.33502844655073,1073.7053769551117,,,,0.015907437846985614,181.8570633886135
4.8,330.85152423190254,327.10075282907064,326.5342813718642,313.60813353397947,22.363957177335237,8999395.019624244,,2057.447057329046,35.32790249377362,945.2042280650732,,,,0.015273865557340201,399.41901361511606
6.0,327.7294056731792,325.0024147123818,324.50286607027624,313.1021418015445,18.942509139722688,8999264.87902802,,2432.1959544023603,35.32329875843673,833.5380055489131,,,,0.01475183538841914,694.768928644388
7.199999999999999,325.28293752588087,323.25323851968983,322.8114286536064,312.7278006355764,16.21420277437221,8999140.938868053,,2835.573604300218,35.32141716885193,737.1961077780275,,,,0.01430205695551774,1063.4627130547328
8.4,323.3569297046592,321.8146911760883,321.4229344074368,312.48194697037314,13.997829679670645,8999022.350178573,,3264.7309223424436,35.32242996832225,653.678397035156,,,,0.013866441380954395,1497.5424895381648
9.6,321.83271619518325,320.642529836963,320.2947758330307,312.359025076283,12.153003045925573,8998908.387804214,,3718.8422880995477,35.32645276529093,580.2561641349731,,,,0.013377784219613012,1981.136348214
10.799999999999999,320.6212273132846,319.69492732888864,319.3867288311492,312.3551874332142,10.570865278648284,8998798.42523136,,4199.90824604037,35.333650550715994,514.2545479561774,,,,0.012762837247929835,2485.398435185549
12.0,319.65652785905587,318.93616398765147,318.66459126216114,312.47069630498225,9.16528681461773,8998691.911088776,,4714.162769029059,35.34430788663693,453.14143397093034,,,,0.011945622656538464,2963.3345616950774
0.0,313.69258299010403,0.0,0.0,0.0,0.0,8997699.972925372,,0.0,0.0,0.0,,,,0.0,0.0
1.2,314.06321874250057,313.1127464742875,312.8473108126045,306.7571755284367,8.584760054533035,8997774.399898749,,7242.538954774703,35.15239794314386,442.901238697486,,,,0.044753413522089544,10768.574592456129
2.4,314.4609127215781,313.45407555099996,313.1823797240508,306.9495870064473,8.810952194237188,8997851.065109117,,7020.330038292746,35.15777054555733,453.3468394587309,,,,0.04316184884791553,8183.45703362308
3.5999999999999996,314.8987195424081,313.81429296938865,313.535853101441,307.1493908058767,9.066011561154482,8997930.121442882,,6716.350759139389,35.16330153891284,464.5998265224591,,,,0.04113489205460239,5958.947840792331
4.8,315.39156535830466,314.20654499487523,313.92054475896987,307.3618084519988,9.36054004804862,8998011.731908921,,6361.619114153034,35.16910563678269,477.2149223484875,,,,0.03849988012935983,4094.1596231227363
6.0,315.95637483184476,314.6465369302786,314.351791233425,307.59376982409185,9.705564806241341,8998096.074572455,,5989.278904042547,35.17534903085288,491.80744343310477,,,,0.03538364827367802,2614.1816466853884
7.199999999999999,316.6124645779702,315.14929107575125,314.8444368125043,307.8561370147393,10.109325666790824,8998183.347270958,,5606.964932929524,35.18236660683882,508.6744179272229,,,,0.03211160909140295,1520.258878687978
8.4,317.38257836289677,315.73105855803163,315.4146058498221,308.16226090082563,10.580196529225816,8998273.77109528,,5216.713483501337,35.19058624434804,528.0273774363097,,,,0.028958509161412117,772.3642321705356
9.6,318.2945374912858,316.41024449228365,316.0804493208914,308.52461473170825,11.132386398425865,8998367.593931451,,4820.603543295762,35.200381589627355,550.2903747457852,,,,0.026082559463347525,309.6217447161186
10.799999999999999,319.3829779324311,317.20899814447927,316.86376087102485,308.95702551795694,11.78525319255857,8998465.09502214,,4422.57068590913,35.2121510912381,576.0567924020434,,,,0.023539045948044072,69.93123558848382
12.0,320.6910704342254,318.15418484915324,317.7909823223269,309.47648523812273,12.563039809483257,8998566.590638837,,4027.3209643402747,35.22638611897961,606.0332955726443,,,,0.021332831290935095,5.427785008628824e-29
0.0,312.6214241357713,0.0,0.0,0.0,0.0,8997696.170802014,,0.0,0.0,0.0,,,,0.0,0.0
1.2,313.06378778139884,311.8418270334719,311.5083277927848,303.82910609510185,10.853052911034183,8997768.28266469,,6957.245727020876,35.039566733336436,556.4709195517287,,,,0.062545204696777,14829.832353443528
2.4,313.5179085694427,312.233900574193,311.8892023150214,303.95264006915704,11.239528140842253,8997842.946813077,,6808.732579376647,35.04168474870874,575.1574031954013,,,,0.06459332180826137,11968.43908297477
3.5999999999999996,313.99711443049614,312.6324301147904,312.2763473972026,304.07821833580056,11.643402332069115,8997920.407569317,,6607.658672897328,35.04383749539797,594.1533083990645,,,,0.06465852398763712,9086.97253482858
4.8,314.52075900628415,313.04234664323275,312.6745531147738,304.2073963526168,12.080238542081759,8998000.938787574,,6311.614400520627,35.04605161646588,613.693759757213,,,,0.06334319820753033,6486.936154580107
6.0,315.1177722823902,313.4727390636252,313.0926486029967,304.3430407535749,12.572745267549749,8998084.823118692,,5893.220397656557,35.04837620635735,634.2122027288559,,,,0.060973953493436164,4305.768527501346
7.199999999999999,315.8221610883577,313.95183620732894,313.5580558533379,304.4940510614939,13.147941154627006,8998172.361921353,,5415.338268858679,35.050963687371755,657.0549159259608,,,,0.057023860609859006,2566.1717625209594
8.4,316.6739673859439,314.51757524445725,314.1076273119884,304.6723889815897,13.836869746355944,8998263.890366107,,4945.845019552295,35.054018698365525,684.03185059375,,,,0.05135044785423862,1299.7191972558974
9.6,317.72276879038566,315.200603317738,314.77113316543586,304.8877283256226,14.679503925353515,8998359.793140464,,4488.169809019841,35.057706642089606,716.6062802853235,,,,0.04510520390739943,508.66229047473405
10.799999999999999,319.03317897479235,316.0323064671904,315.5790605946667,305.1499835206428,15.727982122267576,8998460.51801691,,4034.113073370922,35.06219680487112,756.2780254174788,,,,0.039324361017223246,111.18500422987962
12.0,320.6910704342254,317.05170160969624,316.56930833427606,305.4714835095674,17.051382949725223,8998566.590638837,,3583.5228949050747,35.06769941526943,804.9128649742357,,,,0.03442613296757944,8.346707447576036e-29
,,,,300.15,15.207974231037014,,,4151.937360742393,35.268311471267374,682.9937822479756,,,,,
,,,,300.15,,,,,,27319.751289919022,,,,,
,,,,300.15,,,,,,,,,,,
,,,,300.15,,,,,,,,,,,
,,,,300.15,,,,,,,,,,,
,,,,300.15,,,,,,,,,,,
,,,,300.15,,,,,,,,,,,
,,,,300.15,,,,,,,,,,,
,,,,300.15,,,,,,,,,,,
,,,,300.15,,,,,,,,,,,
