x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j,Bu_p
0,354.55,0,0,0,0,9000000,20.9796830921243,0,0,0,0.049793740782716,0,3,0,0,0
1.2,341.77344283624,325.647859676357,324.970602583667,312.956577852828,37.3126595959968,8999951.25235818,20.8379580211832,628.035526150705,49.947630747636,1130.05917482302,0.050706259217295,,,0.146283988481902,0.000239811866719,0.007329333662081
2.4,332.633516956462,323.090667096549,322.503980869505,312.091513817084,26.937685758953,8999907.80230815,20.7362125038837,867.906530246463,49.9234492281048,978.934234542197,0.049955096649361,,,0.145866607821331,364.782844575148,0.008442908676278
3.6,326.422080537407,320.649884018394,320.150057881771,311.275098759117,19.8081549085945,8999868.74206646,20.6761990996849,1175.40798555366,49.9007698750739,834.001027988726,0.05054490335066,,,0.149149670631158,1554.58643743559,0.00940030274618
4.8,322.296103795305,318.602005823011,318.176862697869,310.625324364508,15.0568334472835,8999833.24714269,,1541.74682134706,49.8834132017966,709.386279420379,,,,0.156956876262911,3783.24505547024,0.010157002202018
6,319.546713428838,317.023535315982,316.658608467195,310.175213783613,11.8818768658015,8999800.63591075,,1954.60381949635,49.8724780013245,608.910468566441,,,,0.168386418261713,7349.63791786106,0.010683053919355
7.2,317.675520798664,315.851490293474,315.534074449212,309.894139236315,9.70480778478253,8999770.37199764,,2401.36893603483,49.8669289549349,529.634448951774,,,,0.181458418963574,12543.8115047053,0.010959091013761
8.4,316.361143579905,314.982430595567,314.702714334053,309.732448840917,8.15638924929777,8999742.03943088,,2868.41230514742,49.8650803754166,466.729593758739,,,,0.193757138500711,19510.231088614,0.010980803045474
9.6,315.402648656186,314.325199729318,314.07580933517,309.644426332289,7.0135979671951,8999715.31533062,,3344.69443639604,49.8653451916627,416.128389229854,,,,0.202041836727757,28016.5073925067,0.010724393292845
10.8,314.672118327609,313.808727110476,313.584045046548,309.591782836782,6.14483335474085,8999689.94763284,,3817.84777384626,49.8663556940182,374.900507583738,,,,0.203168294747103,37286.6396453858,0.010201365028379
12,314.085499207957,313.377537786026,313.173763332817,309.553079000986,5.45989560892468,8999665.73504731,,4248.92192421988,49.8674540533569,340.014439196287,,,,0.196956736622648,46403.8093445893,0.009540574071252
0,354.55,0,0,0,0,9000000,,0,0,0,,,,0,0,0
1.2,341.195713741056,322.357193177568,321.633122159445,308.741545791418,41.3852981067388,8999949.76693178,,592.454413775948,49.765824523101,1208.17206065039,,,,0.185356975220462,0.000281157322196,0.008613060469467
2.4,331.657720302927,320.391869086527,319.756294380172,308.440074457712,29.9651409228883,8999905.29817317,,827.52744059802,49.7647345457637,1060.50868414208,,,,0.190958316099525,445.218181028042,0.010220332658482
3.6,325.278220489414,318.43331196221,317.88721797307,308.164188917562,22.003723579018,8999865.64092141,,1136.17556777093,49.7648465877359,911.202746211652,,,,0.202881043587848,1981.95489590083,0.011704912550307
4.8,321.150133938697,316.762230476488,316.295141388766,307.979193073636,16.6889785695964,8999829.89654833,,1511.43540687285,49.7674033349192,779.376568731094,,,,0.222531974387425,5041.70807962846,0.012940701175774
6,318.477426941042,315.482400641437,315.079327278011,307.903849708927,13.1646359428618,8999797.30886501,,1942.84644356524,49.7726006965704,672.561066396247,,,,0.247554882150308,10179.2850571454,0.013790133120205
7.2,316.702829326486,314.549466565938,314.196742158489,307.918479421621,10.7696075137142,8999767.2798861,,2421.8546315636,49.7797836228508,588.549691324147,,,,0.271536701377101,17764.6834779418,0.014099774759123
8.4,315.476329804034,313.871437416466,313.558611249908,307.991437039056,9.07188920719665,8999739.34630224,,2944.38327753667,49.7880448001989,521.976194113131,,,,0.284578999925599,27389.2722539213,0.013712102535217
9.6,314.583533029439,313.356373783055,313.076263837964,308.092169969412,7.80965421037172,8999713.14901455,,3494.36687160396,49.7965266172943,467.386487175557,,,,0.28025887768762,37683.5585880033,0.01269824201254
10.8,313.887559818985,312.918461049725,312.666996577656,308.19331743753,6.8249429643048,8999688.40038424,,3986.05559625715,49.8044912278393,419.589158937347,,,,0.26420021749457,47625.9663907906,0.011542331444115
12,313.302588199742,312.511210990802,312.286254421043,308.28474731673,6.01051798928847,8999664.85524242,,4333.16201065688,49.8117670962778,375.358543327372,,,,0.243170956798226,56760.5115749827,0.010618528238591
0,306.119103344296,0,0,0,0,8999452.61144426,,0,0,0,,,,0,0,0
13.2,306.79332070739,306.044438617514,305.948330884805,304.23357173616,2.52197049308785,8999469.57006068,,4872.82348026297,49.6583219490718,160.363658655652,,,,0.050703210094268,13026.9848113693,0.005818809982641
14.4,307.546319215283,306.649581124544,306.534583586683,304.483077740494,3.044851642276,8999486.75081911,,4614.94379763056,49.6663792090047,191.882852517542,,,,0.067932640221268,13736.7646277894,0.006948093693033
15.6,308.358159436799,307.313138988954,307.177825705875,304.764304716743,3.60926074957143,8999504.21297105,,4420.30288704787,49.6755847996823,225.781344710053,,,,0.089650146777381,13806.2136626251,0.008125213491013
16.8,309.200264700028,308.017444756483,307.861005133077,305.071204215283,4.19507283868654,8999522.02951483,,4287.50928286164,49.6857604191837,261.032381600192,,,,0.116320327374679,13067.8268827769,0.009277002364236
18,310.040154210498,308.739937158784,308.562262146494,305.394439285089,4.77891507251775,8999540.28945131,,4213.95568777848,49.6966031960352,296.465375025287,,,,0.148005400364497,11438.9172088775,0.010315930810805
19.2,310.848599167346,309.456781183487,309.258420359185,305.722561818479,5.33933068244124,8999559.09961908,,4193.31457872953,49.7077155477476,330.981354149492,,,,0.184013680875144,8991.87002171966,0.011157319382788
20.4,311.604798357171,310.146763568193,309.928777746976,306.043943677071,5.86133869510616,8999578.58543425,,4214.16170109829,49.7186748133667,363.727276037995,,,,0.222683528118968,6027.47637755198,0.011721398665826
21.6,312.305870893129,310.792873440442,310.556687768955,306.348384443318,6.34216804027079,8999598.89296394,,4241.85414113072,49.729099690702,394.095223393983,,,,0.262284057000777,3095.65137987053,0.012059246954644
22.8,312.98228148596,311.386043019469,311.13314287601,306.627889482285,6.80341494506325,8999620.18731758,,4196.98703691356,49.7386632808073,421.984694851039,,,,0.300094953070086,865.341386861928,0.012525493399489
24,313.685691673905,311.942857907051,311.673950024282,306.88436472342,7.28666119085852,8999642.64226712,,4035.68142099703,49.7473463265703,448.694924740689,,,,0.328406406043566,7.90594816146156E-28,0.013225984271911
0,305.118607431303,0,0,0,0,8999452.59711222,,0,0,0,,,,0,0,0
13.2,305.706749173293,305.102909851299,305.025038004009,303.63491132935,2.02022263762285,8999469.63198197,,5248.36387498494,49.6354076319931,129.935583568146,,,,0.03444291521069,8879.2979657978,0.004549833326999
14.4,306.417449359671,305.634225931391,305.535163822738,303.766858897626,2.60366981766896,8999486.83903322,,4833.62540244206,49.6381998446078,165.293277926053,,,,0.049747601954104,10100.4218880661,0.00578817018576
15.6,307.246817683329,306.257486708003,306.133565107276,303.921652436196,3.2963073034021,8999504.27557906,,4502.2194119252,49.6414746268428,206.773385565422,,,,0.07080387054889,10954.4994484805,0.007219977234486
16.8,308.174417966999,306.96373587752,306.811641800835,304.097074244171,4.0870807030779,8999522.0168369,,4251.48824285318,49.6451846604545,253.781479328633,,,,0.099087359224207,11186.647264786,0.008788073802903
18,309.161653105936,307.732928496155,307.550147576955,304.288149480401,4.94896079626648,8999540.16092026,,4080.84570470118,49.6492252670066,304.985000647297,,,,0.135913769565242,10552.3159417006,0.010379236116207
19.2,310.157864168708,308.535467841113,308.320665798507,304.487530194483,5.84099354008049,8999558.83466116,,3988.78286754523,49.6534408278969,358.414879412656,,,,0.181877032103719,8914.15985887888,0.01183187607997
20.4,311.114428020129,309.337368839338,309.090567194528,304.686776457233,6.71775786580179,8999578.19917425,,3967.29065860282,49.6576519649546,411.808848249233,,,,0.235913849109722,6382.64566143018,0.012974536163251
21.6,311.999335461939,310.1066953085,309.829190162416,304.87794872644,7.54290737781406,8999598.45401413,,3995.10177772612,49.6616909698473,463.040165943282,,,,0.294769398836644,3457.00075449198,0.013661877205509
22.8,312.830195120654,310.812810781881,310.507121663995,305.053433006677,8.31304878795777,8999619.84450771,,3983.91848341948,49.6653972451913,510.067441376269,,,,0.355343825368789,1008.3896165646,0.014240701690299
24,313.685691673905,311.443891438366,311.113010725098,305.210286054728,9.07780036991562,8999642.64226712,,3808.04766036267,49.6687089865776,552.101690697473,,,,0.40952591306373,9.55802390241075E-28,0.015370266300272
,,,,303.15,10.3850714274259,,,3299.76064544134,49.7553864908355,496.114765086664,,,,,,
,,,,303.15,,,,,,19844.5906034666,,,,,,
,,,,303.15,,,,,,,,,,,,
,,,,303.15,,,,,,,,,,,,
,,,,303.15,,,,,,,,,,,,
,,,,303.15,,,,,,,,,,,,
,,,,303.15,,,,,,,,,,,,
,,,,303.15,,,,,,,,,,,,
,,,,303.15,,,,,,,,,,,,
,,,,303.15,,,,,,,,,,,,
