x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j
0.0,339.10999999999996,0.0,0.0,0.0,0.0,8000000.0,21.443111730058984,0.0,0.0,0.0,0.049898705302913904,0,3,0.0,0.0
1.2,329.04319622822015,315.3859061035622,314.8121263790601,304.6801397849247,31.14121452941299,7999949.3937784685,21.312305434199537,640.9150362402853,50.37023863286784,957.3986732766982,0.050601294696976745,,,0.13561412669544168,0.0002215062020383681
2.4,321.9054230458729,313.4576157791071,312.958439866514,304.14146449512265,22.850762384231984,7999903.850443926,21.20827780103083,867.2599027855799,50.35684704380032,832.9160756622933,0.04985789477807127,,,0.1394070329533934,343.6526488047645
3.5999999999999996,317.0854088890528,311.6731030831508,311.24451638883147,303.67270517722613,17.125989565562975,7999862.533031512,21.13307560010249,1143.8896875721787,50.345925804984724,715.1321578492793,0.05064210522178775,,,0.1505183482326142,1526.6582227186943
4.8,313.91371634478327,310.2050655374474,309.83644698737305,303.32315109482664,13.297343134338576,7999824.691340908,,1453.5605160948237,50.338734421068835,615.070375818031,,,,0.17466390494828796,4019.4549563720243
6.0,311.8467364536813,309.10189801633123,308.78157158946874,303.1213056660885,10.733004982579473,7999789.706570284,,1770.001818799921,50.33636876477838,534.4909954006672,,,,0.22175652098239984,8949.252344415425
7.199999999999999,310.5072301387618,308.3673404360418,308.08740160533296,303.14140323675537,8.886841259440416,7999757.081459739,,2080.140496406064,50.342516271333494,467.10096869225123,,,,0.3009437166634298,18350.81036831302
8.4,309.6249114869816,307.8684189572725,307.619193015686,303.2164703903327,7.607459171252287,7999726.423305974,,2367.6363302738737,50.34975988391665,415.8539865571734,,,,0.43136263939016883,35795.15638081807
9.6,309.02141850888574,307.61315952982824,307.3833322516908,303.3238782878673,6.698150606528827,7999697.446496586,,2805.9809523408553,50.35691006565928,383.48572072536274,,,,0.5099598320808091,57004.00683664922
10.799999999999999,308.5952867525787,307.4725641310519,307.2548395704843,303.4095610164822,6.060848996781829,7999669.954133089,,3402.909244617906,50.36217182588924,363.2913408438161,,,,0.532363940216728,79504.82488336338
12.0,308.28445503081224,307.37660027317713,307.1657494529024,303.442039701199,5.6389847376057105,7999643.807274449,,4140.112341884432,50.36446444239163,351.82193968749925,,,,0.522746584563907,102397.26114968503
0.0,339.10999999999996,0.0,0.0,0.0,0.0,8000000.0,,0.0,0.0,0.0,,,,0.0,0.0
1.2,328.6517147714551,312.5490438501939,311.9420597295999,301.1906273844695,34.53648168908512,7999948.213296336,,594.0598411703094,50.21527742854254,1012.8029397379405,,,,0.1817755394860124,0.0002701462902389929
2.4,321.2602953556201,311.0857635693795,310.5523730823027,301.1056300105064,25.47276063356577,7999901.854235858,,802.863819608347,50.2213008686867,890.005907913353,,,,0.19874853510873594,444.4660052217953
3.5999999999999996,316.36199977720315,309.6537620069175,309.19472488054924,301.0661476265737,19.141208968280978,7999860.043269277,,1046.5427084765186,50.22939444003371,765.9412087722089,,,,0.23958245020274246,2163.311586615338
4.8,313.272774628928,308.34027550205764,307.9521846720869,301.08128787033235,14.916497221528743,7999821.938112821,,1250.9289355170802,50.239401334153634,647.5614767777653,,,,0.3680707368558871,6950.798036482814
6.0,311.3527240629199,307.32464797150413,306.9956937001336,301.1731371672171,12.140122371207326,7999786.805382618,,1376.8318465245104,50.25116592690416,548.8872637540543,,,,0.6980018625488864,19500.46855986558
